cart_velocity,pole_angular_velocity,pole_angle,motor_command
-53.27336,0,-0.008726646,0.6755332
-39.717033,1.5734448,0.3962714,0.6755332
-26.160707,-0.123727895,0.39420927,0.6755332
-12.604382,-0.16945916,0.39138496,0.6755332
0.95194435,-0.21552776,0.38779283,0.6755332
14.50827,-0.26204675,0.38342535,0.6755332
28.064596,-0.3091264,0.37827325,-0.30416995
25.058727,-0.24172978,0.37424442,-0.30416995
22.052856,-0.17509605,0.37132615,-0.30416995
19.046986,-0.10909686,0.36950788,-0.30416995
16.041115,-0.0436142,0.368781,-0.30416995
13.035245,0.021466626,0.3691388,-0.30416995
10.029375,0.08623747,0.37057605,-0.30416995
7.023505,0.15086837,0.37309054,-0.30416995
4.0176353,0.2154542,0.37668145,-0.30416995
1.0117655,0.28009644,0.38134968,-0.30416995
-1.9941044,0.34491023,0.3870982,-0.30416995
-4.9999743,0.4099827,0.39393124,-0.30416995
-8.005844,0.47547734,0.40185586,-0.04044348
-8.005844,0.5207659,0.41053528,-0.04044348
-8.005844,0.56677616,0.41998154,-0.60055816
-17.446972,0.6780839,0.43128294,-0.60055816
-26.8881,0.7898021,0.4444463,-0.60055816
-36.329227,0.9020636,0.4594807,-0.60055816
-45.770355,1.0149803,0.47639704,-0.60055816
-55.211483,1.128663,0.49520808,-0.60055816
-64.65261,1.2432008,0.5159281,-0.60055816
-74.09374,1.3587022,0.53857315,-0.60055816
-83.534874,1.4751775,0.56315947,-0.60055816
-92.976006,1.5927036,0.5897045,-0.60055816
-102.41714,1.7112979,0.6182262,-0.60055816
-111.85827,1.8309727,0.6487424,-0.60055816
-121.2994,1.9517177,0.681271,-0.60055816
-130.74052,2.0734813,0.7158291,-0.60055816
-140.18166,2.1962016,0.75243247,-0.19710708
-140.18166,2.2682083,0.79023594,-0.19710708
-140.18166,2.3430593,0.82928693,-0.19710708
-140.18166,2.4207027,0.86963207,-0.19710708
-140.18166,2.5010767,0.9113167,-0.19710708
-140.18166,2.584105,0.95438516,-0.19710708
-140.18166,2.669692,0.99888,-0.19710708
-140.18166,2.7577107,1.0448419,-0.19710708
-140.18166,2.8480234,1.092309,-0.19710708
-140.18166,2.9404643,1.1413168,-0.19710708
-140.18166,3.0348444,1.1918975,-0.19710708
-140.18166,3.1309392,1.2440798,0.98246837
-122.26155,3.1854722,1.297171,0.98246837
-104.341446,3.2482734,1.351309,0.98246837
-86.42134,3.3192365,1.4066296,0.98246837
-68.501236,3.398204,1.4632663,0.98246837
-50.58113,3.4850235,1.52135,0.98246837
-32.661026,3.5794916,1.5810082,0.98246837
-14.740921,3.681374,1.6423644,0.98246837
3.179184,3.790387,1.7055376,0.98246837
21.099289,3.9062047,1.770641,0.98246837
39.019394,4.028419,1.8377813,0.98246837
56.9395,4.1565604,1.9070573,0.98246837
74.859604,4.290092,1.9785588,0.98246837
92.77971,4.428352,2.0523646,0.5455246
103.951996,4.547236,2.128152,0.5455246
115.12428,4.666177,2.2059214,0.5455246
126.29657,4.7843127,2.28566,0.5455246
137.46886,4.90076,2.3673394,0.5455246
148.64114,5.0145416,2.450915,0.5455246
159.81343,5.1246395,2.5363257,0.6806053
173.4607,5.245215,2.623746,0.6806053
187.10796,5.360665,2.7130904,0.6806053
200.75522,5.4697647,2.804253,0.6806053
214.40248,5.5712657,2.8971076,0.6806053
228.04974,5.664024,2.991508,-0.09559661
228.04974,5.645879,3.085606,-0.09559661
228.04974,5.617386,-3.103956,-0.09559661
228.04974,5.5785847,-3.0109797,-0.09559661
228.04974,5.5296283,-2.9188192,-0.09559661
228.04974,5.470764,-2.8276398,-0.09559661
228.04974,5.402337,-2.7376008,-0.09559661
228.04974,5.324781,-2.6488545,-0.09559661
228.04974,5.238608,-2.5615444,-0.09559661
228.04974,5.1444054,-2.4758043,-0.09559661
228.04974,5.042799,-2.3917577,-0.29926485
225.16968,4.9186926,-2.3097794,-0.29926485
222.28961,4.7900405,-2.2299454,-0.9054182
207.23819,4.6018,-2.1532488,-0.9054182
192.18677,4.4168196,-2.0796351,-0.9054182
177.13535,4.2357116,-2.0090399,-0.9054182
162.08392,4.059005,-1.9413898,0.8692975
179.02368,3.9738047,-1.8751597,0.8692975
195.96344,3.878161,-1.8105237,0.8692975
212.9032,3.7727466,-1.7476447,0.8692975
229.84296,3.6582534,-1.6866738,0.8692975
246.78271,3.535418,-1.6277502,0.8692975
263.72247,3.4049525,-1.5710009,0.8692975
280.66223,3.2675745,-1.5165414,0.8692975
297.602,3.1239772,-1.464475,0.8692975
314.54175,2.9748254,-1.4148946,0.8692975
331.4815,2.820764,-1.3678819,0.8692975
348.42126,2.6624022,-1.3235085,0.8692975
365.36102,2.5002925,-1.281837,0.8692975
382.30078,2.3349721,-1.2429208,0.8692975
399.24054,2.1669338,-1.2068052,-0.854751
385.0825,2.0794296,-1.1721481,-0.854751
370.92444,1.9970198,-1.1388644,-0.854751
356.7664,1.9196002,-1.106871,-0.854751
342.60834,1.847067,-1.0760865,-0.854751
328.4503,1.779312,-1.0464313,-0.854751
314.29224,1.7162224,-1.0178276,-0.854751
300.1342,1.6576968,-0.9901993,-0.9142295
284.92868,1.6079283,-0.96340054,-0.9142295
269.72318,1.5626945,-0.93735564,-0.9142295
254.51767,1.5218688,-0.9119912,-0.9142295
239.31216,1.4853777,-0.8872349,-0.9142295
224.10666,1.4531343,-0.863016,-0.9142295
208.90115,1.4250662,-0.8392649,-0.9142295
193.69565,1.4011,-0.81591326,-0.9142295
178.49014,1.381174,-0.7928937,-0.9142295
163.28464,1.3652325,-0.7701398,-0.9142295
148.07913,1.3532428,-0.7475858,-0.9142295
132.87363,1.3451267,-0.725167,-0.9142295
117.66811,1.3408703,-0.7028191,-0.9142295
102.4626,1.3404516,-0.68047833,0.6319668
115.231834,1.1811792,-0.66079205,0.6319668
128.00107,1.0234087,-0.64373523,0.6319668
140.77031,0.8670477,-0.62928444,0.6319668
153.53955,0.7120022,-0.61741775,0.6319668
166.30879,0.55819297,-0.60811454,0.6319668
179.07803,0.40545473,-0.601357,0.6319668
191.84727,0.25369748,-0.5971287,0.019496083
191.84727,0.18179533,-0.59409875,0.019496083
191.84727,0.11056511,-0.592256,0.019496083
191.84727,0.039879646,-0.59159136,0.019496083
191.84727,-0.030380474,-0.5920977,0.019496083
191.84727,-0.10032368,-0.5937698,0.019496083
191.84727,-0.17006683,-0.59660417,0.019496083
191.84727,-0.23973286,-0.6005997,0.019496083
191.84727,-0.30942243,-0.60575676,0.019496083
191.84727,-0.37925133,-0.6120776,0.79854596
207.57169,-0.54561067,-0.6211711,0.79854596
223.2961,-0.71149355,-0.63302934,0.79854596
239.02051,-0.8769521,-0.64764524,0.79854596
254.74492,-1.0419941,-0.6650118,0.79854596
270.46933,-1.2066741,-0.6851231,0.79854596
286.19373,-1.3709475,-0.7079722,0.79854596
301.91812,-1.5347672,-0.7335517,0.79854596
317.64252,-1.698049,-0.7618525,0.79854596
333.3669,-1.8606545,-0.7928634,0.79854596
349.0913,-2.0224557,-0.82657105,0.11890745
351.03387,-2.1133885,-0.8617942,0.11890745
352.97644,-2.2061298,-0.898563,0.11890745
354.919,-2.3006601,-0.93690735,0.2013154
358.97397,-2.4062428,-0.9770114,0.2013154
363.02893,-2.5128634,-1.0188924,-0.4494784
356.66684,-2.5795197,-1.0618844,-0.4494784
350.30475,-2.6500123,-1.1060513,-0.4494784
343.94266,-2.7242506,-1.1514555,-0.4494784
337.58057,-2.8021688,-1.1981584,-0.4494784
331.21848,-2.8836443,-1.2462192,-0.4494784
324.85638,-2.9685338,-1.2956947,-0.4494784
318.4943,-3.0566993,-1.3466398,-0.4494784
312.1322,-3.1479514,-1.3991057,-0.4494784
305.7701,-3.2420774,-1.4531403,-0.4494784
299.40802,-3.3388278,-1.5087874,-0.4494784
293.04593,-3.4379373,-1.5660863,-0.4494784
286.68384,-3.5390859,-1.625071,-0.4494784
280.32175,-3.6419199,-1.6857697,0.15134692
283.13956,-3.7381685,-1.7480725,0.15134692
285.95737,-3.8310816,-1.8119239,0.15134692
288.77518,-3.920181,-1.8772602,0.15134692
291.593,-4.0049186,-1.9440088,0.15134692
294.4108,-4.084776,-2.0120885,0.15134692
297.2286,-4.159238,-2.0814092,0.15134692
300.04642,-4.2278123,-2.1518726,0.15134692
302.86423,-4.2899475,-2.2233717,0.15134692
305.68204,-4.3451953,-2.2957916,0.15134692
308.49985,-4.3931103,-2.3690102,0.15134692
311.31766,-4.433332,-2.442899,0.15134692
314.13547,-4.4654093,-2.5173225,0.15134692
316.95328,-4.48908,-2.5921404,0.15134692
319.7711,-4.504141,-2.6672094,0.06262624
319.7711,-4.5290813,-2.7426941,0.06262624
319.7711,-4.545493,-2.8184524,-0.40165472
314.45413,-4.590892,-2.8949673,-0.40165472
309.13718,-4.627771,-2.972097,-0.40165472
303.82022,-4.6558757,-3.0496948,-0.40165472
298.50327,-4.6748695,-3.1276093,-0.40165472
293.1863,-4.684541,3.0775003,-0.40165472
287.86935,-4.684741,2.9994214,-0.40165472
282.5524,-4.6754084,2.9214978,-0.40165472
277.23544,-4.6565375,2.8438888,-0.40165472
271.9185,-4.628215,2.7667518,-0.121890485
271.9185,-4.5535674,2.690859,-0.121890485
271.9185,-4.471522,2.6163337,-0.121890485
271.9185,-4.382564,2.543291,-0.6432878
261.65128,-4.3506527,2.4707801,-0.115890324
261.65128,-4.248627,2.3999696,-0.115890324
261.65128,-4.141212,2.3309493,-0.115890324
261.65128,-4.028946,2.2638001,0.7097738
275.81876,-3.8446898,2.199722,0.7097738
289.98624,-3.662669,2.1386776,0.7097738
304.15372,-3.4833837,2.0806212,0.7097738
318.3212,-3.3071413,2.0255022,0.7097738
332.48868,-3.1342008,1.9732655,0.7097738
346.65616,-2.9648318,1.9238516,0.7097738
360.82364,-2.7991736,1.8771987,-0.27185935
358.67325,-2.6741383,1.8326297,-0.27185935
356.52286,-2.5475898,1.7901698,-0.27185935
354.37247,-2.4198198,1.7498395,-0.27185935
352.22208,-2.2911367,1.711654,-0.27185935
350.0717,-2.1617887,1.6756241,-0.27185935
347.9213,-2.0320015,1.6417575,-0.27185935
345.7709,-1.9019892,1.6100577,-0.27185935
343.6205,-1.7719268,1.5805256,-0.27185935
341.47012,-1.6419724,1.5531595,-0.27185935
339.31973,-1.5122511,1.5279553,-0.27185935
337.16934,-1.3828772,1.5049074,-0.27185935
335.01895,-1.2539346,1.4840084,-0.27185935
332.86856,-1.1254995,1.4652501,-0.27185935
330.71817,-0.99762124,1.4486231,-0.54177034
322.44235,-0.86476,1.4342104,-0.54177034
314.16653,-0.73189646,1.4220121,-0.54177034
305.89072,-0.5991414,1.4120264,-0.54177034
297.6149,-0.46660826,1.4042495,-0.54177034
289.33908,-0.33439666,1.3986763,-0.54177034
281.06326,-0.20260927,1.3952994,-0.54177034
272.78745,-0.07131751,1.3941108,-0.54177034
264.51163,0.059388548,1.3951006,-0.54177034
256.2358,0.18941604,1.3982575,-0.54177034
247.95999,0.31868076,1.4035689,-0.32578826
244.41328,0.44119966,1.4109222,-0.32578826
240.86658,0.5630686,1.4203067,-0.32578826
237.31987,0.68424517,1.4317107,-0.32578826
233.77316,0.8047065,1.4451225,-0.32578826
230.22646,0.92441666,1.4605294,0.107376814
231.8361,1.0390854,1.4778476,0.107376814
233.44576,1.153573,1.4970738,0.107376814
235.0554,1.2678875,1.5182053,0.107376814
236.66505,1.3820196,1.5412389,0.107376814
238.2747,1.4959449,1.5661713,0.107376814
239.88435,1.6096202,1.5929983,0.107376814
241.494,1.722988,1.6217147,0.107376814
243.10365,1.8359767,1.6523143,0.107376814
244.7133,1.9484888,1.6847892,0.107376814
246.32295,2.0604038,1.7191292,0.107376814
247.9326,2.1715958,1.7553225,0.107376814
249.54225,2.2818978,1.793354,0.107376814
251.1519,2.391127,1.8332062,-0.7389939
239.08746,2.472526,1.8744149,-0.595533
229.74458,2.5546412,1.9169923,-0.595533
220.4017,2.6318328,1.9608562,-0.23620033
219.3059,2.7273135,2.0063114,-0.23620033
218.21008,2.8196957,2.0533063,-0.23620033
217.11427,2.9086907,2.1017845,-0.23620033
216.01846,2.9940252,2.151685,-0.23620033
214.92265,3.0753212,2.2029405,-0.23620033
213.82684,3.1522803,2.2554784,-0.23620033
212.73103,3.2246203,2.309222,-0.60858476
203.13347,3.2491293,2.3633742,-0.60858476
193.5359,3.2662897,2.4178123,0.62992966
206.26805,3.4011006,2.4744973,0.62992966
219.0002,3.5332475,2.5333848,0.62992966
231.73235,3.6620815,2.5944195,0.62992966
244.4645,3.7870798,2.6575375,0.62992966
257.19666,3.907519,2.7226627,0.62992966
269.9288,4.0227666,2.7897089,0.62992966
282.66095,4.132187,2.8585787,0.62992966
295.3931,4.2349877,2.9291618,0.62992966
308.12524,4.3305054,3.0013368,0.62992966
320.8574,4.418106,3.074972,0.9514973
338.7775,4.5357018,-3.1326182,0.9514973
356.6976,4.6436477,-3.055224,0.9514973
374.6177,4.7409897,-2.9762075,0.9514973
392.5378,4.826838,-2.8957603,0.9514973
410.45792,4.900322,-2.8140883,0.9514973
428.37802,4.9608283,-2.7314079,0.9514973
446.29813,5.007672,-2.6479466,0.9514973
464.21823,5.0402846,-2.563942,0.9514973
482.13834,5.0583677,-2.4796357,0.3034755
488.48987,4.99331,-2.3964138,0.3034755
494.8414,4.9190125,-2.3144302,0.3034755
500,4.829912,-2.2339318,0.3034755
500,4.709358,-2.1554425,0.3034755
500,4.5844927,-2.0790343,0.3034755
500,4.4559283,-2.0047688,0.3034755
500,4.324289,-1.9326974,0.3034755
500,4.1901655,-1.8628613,-0.06847447
500,4.0541224,-1.7952926,-0.06847447
500,3.916707,-1.7300142,-0.06847447
500,3.7784233,-1.6670405,-0.06847447
500,3.6397421,-1.6063781,-0.06847447
500,3.5010967,-1.5480264,-0.06847447
500,3.3628726,-1.4919785,-0.06847447
500,3.2254286,-1.4382213,-0.06847447
500,3.0890744,-1.3867368,-0.06847447
500,2.9540758,-1.3375021,-0.06847447
500,2.8206694,-1.290491,-0.06847447
500,2.6890543,-1.2456734,-0.06847447
500,2.5593872,-1.203017,-0.06847447
500,2.4317973,-1.162487,0.67246675
500,2.30639,-1.1240472,0.67246675
500,2.183234,-1.08766,0.67246675
500,2.0623739,-1.053287,0.67246675
500,1.9438417,-1.0208896,0.67246675
500,1.8276294,-0.99042916,0.67246675
500,1.7137312,-0.961867,0.67246675
500,1.6021086,-0.93516517,0.67246675
500,1.4927223,-0.9102865,0.67246675
500,1.3855041,-0.88719475,0.67246675
500,1.280387,-0.865855,-0.5748412
491.06424,1.2206092,-0.8455115,-0.5748412
482.12848,1.1636621,-0.8261171,-0.5748412
473.19272,1.1094413,-0.8076264,-0.5748412
464.25696,1.0578661,-0.7899953,-0.5748412
455.3212,1.0088326,-0.77318144,-0.5748412
446.38544,0.9622835,-0.7571434,-0.5748412
437.44968,0.9180675,-0.7418422,-0.5748412
428.51392,0.8761167,-0.72724026,-0.5748412
419.57816,0.836366,-0.7133008,-0.5748412
410.6424,0.7987128,-0.69998896,-0.5748412
401.70663,0.76308453,-0.6872709,-0.5748412
392.77087,0.7294016,-0.6751142,-0.5748412
383.8351,0.69759065,-0.6634877,-0.5748412
374.89935,0.6675751,-0.6523614,0.07875955
375.59006,0.5820372,-0.6426608,0.07875955
376.28076,0.49788085,-0.63436276,0.07875955
376.97147,0.41492784,-0.6274473,0.07875955
377.66217,0.33303952,-0.6218966,0.07875955
378.35287,0.25205678,-0.6176957,0.07875955
379.04358,0.17193505,-0.6148301,0.07875955
379.73428,0.09249615,-0.61328846,0.07875955
380.425,0.013576021,-0.6130622,0.07875955
381.1157,-0.06486565,-0.6141433,0.22587717
385.74588,-0.16708195,-0.61692804,0.22587717
390.37607,-0.26900756,-0.6214115,0.22587717
395.00626,-0.37081677,-0.6275918,0.22587717
399.63644,-0.4725526,-0.63546765,0.22587717
404.26663,-0.5743734,-0.6450405,0.22587717
408.89682,-0.67638195,-0.65631354,0.22587717
413.527,-0.77869964,-0.66929185,0.22587717
418.1572,-0.8814227,-0.68398225,0.22587717
422.78738,-0.9846925,-0.70039386,0.22587717
427.41757,-1.0885011,-0.71853554,0.20105422
431.4663,-1.1897038,-0.7383639,0.20105422
435.51505,-1.2916721,-0.7598918,0.20105422
439.56378,-1.39456,-0.78313446,0.20105422
443.61252,-1.498267,-0.8081056,0.20105422
447.66125,-1.6028805,-0.8348203,0.20105422
451.71,-1.7085056,-0.8632954,0.20105422
455.75873,-1.8149712,-0.8935449,0.11487067
457.58636,-1.9119953,-0.9254115,0.11487067
459.414,-2.010341,-0.9589172,0.11487067
461.24164,-2.1098995,-0.9940822,0.11487067
463.06927,-2.2107594,-1.0309283,0.11487067
464.8969,-2.3127842,-1.0694747,0.11487067
466.72455,-2.4158545,-1.109739,0.11487067
468.5522,-2.5198083,-1.1517358,0.11487067
470.37982,-2.6246037,-1.1954792,-0.5392674
462.15445,-2.702437,-1.2405198,-0.5392674
453.92908,-2.7839715,-1.2869192,-0.5392674
445.7037,-2.8691812,-1.334739,-0.5392674
437.47833,-2.9578812,-1.384037,-0.5392674
429.25296,-3.0499666,-1.4348698,-0.5392674
421.0276,-3.1452172,-1.48729,-0.5392674
412.80222,-3.2434535,-1.5413476,-0.5392674
404.57684,-3.3444104,-1.5970879,-0.5392674
396.35147,-3.4478123,-1.6545514,-0.5392674
388.1261,-3.5533452,-1.7137738,-0.5392674
379.90073,-3.6606245,-1.7747842,-0.5663847
371.1326,-3.7700908,-1.8376191,-0.5663847
362.36447,-3.8806925,-1.9022973,-0.5663847
353.59634,-3.9918988,-1.9688289,-0.5663847
344.82822,-4.1032133,-2.0372157,-0.5663847
336.0601,-4.213978,-2.1074486,-0.5663847
327.29196,-4.3236146,-2.179509,-0.5663847
318.52383,-4.4313507,-2.2533648,-0.5663847
309.7557,-4.536561,-2.3289742,-0.5663847
300.98758,-4.6384263,-2.4062815,-0.5663847
292.21945,-4.736077,-2.4852161,-0.5663847
283.45132,-4.8288617,-2.5656972,-0.5663847
274.6832,-4.9158225,-2.6476276,-0.5663847
265.91507,-4.9963036,-2.7308993,0.728919
280.4216,-4.9097905,-2.8127291,0.728919
294.92813,-4.812107,-2.892931,0.728919
309.43466,-4.704132,-2.9713333,0.728919
323.9412,-4.586478,-3.0477746,0.728919
338.44772,-4.459813,-3.122105,0.728919
352.95425,-4.3251324,3.0889947,0.728919
367.4608,-4.183135,3.019276,0.55548155
378.8196,-4.0579205,2.951644,0.55548155
390.17844,-3.9265678,2.8862011,0.55548155
401.53726,-3.7895505,2.823042,0.55548155
412.8961,-3.64777,2.7622457,0.55548155
424.2549,-3.5017338,2.7038834,0.55548155
435.61374,-3.351985,2.648017,0.55548155
446.97256,-3.199324,2.5946949,0.55548155
458.3314,-3.0440745,2.5439603,0.55548155
469.69022,-2.8869226,2.4958448,0.55548155
481.04904,-2.7281616,2.4503756,0.55548155
492.40787,-2.568366,2.4075694,0.55548155
500,-2.428727,2.3670907,0.55548155
500,-2.3283322,2.3282852,-0.5195623
492.1743,-2.2652876,2.2905304,-0.5195623
484.34857,-2.197801,2.2539005,-0.5195623
476.52286,-2.1261482,2.2184646,-0.5195623
468.69714,-2.0506675,2.1842868,-0.5195623
